freq_mhz,canal,mediana,pct_ocupado
857.461,D,-69.306,19.672
857.48,D,-71.091,22.951
857.5,D,-68.957,22.951
857.52,D,-67.895,24.59
857.539,D,-68.768,24.59
857.559,D,-68.631,24.59
857.578,D,-68.737,26.23
857.598,D,-68.979,26.23
857.617,D,-69.775,24.59
857.637,D,-69.045,24.59
857.656,D,-69.445,29.508
857.676,D,-69.253,29.508
857.695,D,-68.944,24.59
857.715,D,-69.05,21.311
857.734,D,-68.936,22.951
857.754,D,-69.236,26.23
857.773,D,-69.009,21.311
857.793,D,-69.411,19.672
857.812,D,-70.193,22.951
857.832,D,-68.399,22.951
857.852,D,-67.67,22.951
857.871,D,-69.269,22.951
857.891,D,-70.724,24.59
857.91,D,-68.713,26.23
857.93,D,-67.676,24.59
857.949,D,-67.984,22.951
857.969,D,-69.681,22.951
857.988,D,-71.275,21.311
858.008,D,-70.821,22.951
858.027,D,-69.084,19.672
858.047,D,-70.018,21.311
858.066,D,-70.075,19.672
858.086,D,-70.279,19.672
